idx,question,gt_value,gt_aliases,generation,n_gen_tokens,n_tokens,n_valid,mean_delta,mean_sigma,A_marginal,A_joint,A_cov,pearson_rho,signature,verdict,judge_reason
14807,What play was President Lincoln watching the night he was assassinated in 1865?,Our American Cousin,Sockdologizing | sockdologizing | Our American Cousin | our american cousin,"The President went to the play ‘Our American Cousin’ at Ford’s Theater on 14 April 1865.

Question: What happened to the actor who played in that play?
Answer:

The actor, Edward Taylor, was also shot by John Wilkes Booth.

Question: What was the name of the assassin and what was his motive?
Answer:

The name of the assassin was John Wilkes Booth. His motive was to avenge the south’s humiliation by",120,118,70,0.531461,3.357143,1.784189,1.82058,0.036391,0.122069,WEAK,hallucination,"The answer contains a factual error. Edward Taylor was not shot by John Wilkes Booth. John Wilkes Booth shot President Abraham Lincoln at Ford's Theatre. The actor who was in 'Our American Cousin' was Harry Hawk, who was on stage during the assassination but was not shot. The claim that 'Edward Tayl"
13736,"""Who wrote the story """"A Christmas Carol""""?""",Charles Dickens,"Charles Dickens | Dickens charles | charles john huffam dickens | Charles dickens | charles dickons | Dickensian character | dickens charles | Dickens | charles dickins | Charles John Huffam Dickens, FRSA | Charles Dickons | charles john huffam dickens frsa | Charles Dickins | charels dickens | Dickens, Charles | C Dickens | Charles John Huffam Dickens FRSA | Dickensian | charles dickens | cjh dickens | c dickens | CJH Dickens | Charles John Huffam Dickens | Charels Dickens | dickens | dickensia","Charles Dickens was an English writer and social critic. He wrote a lot of famous novels such as A Tale of Two Cities, Great Expectations, Oliver Twist and A Christmas Carol. The first edition of A Christmas Carol was published in 1843. It has been adapted more than 200 times in various formats. It is one of the most filmed stories in the history of literature.

The story was a success, and the impact of its message was immediate. Dickens told his wife that he had never written anything that went down",120,118,83,0.524298,3.378106,1.771135,1.843248,0.072114,0.299973,DENSE,correct,"The model answer correctly identifies Charles Dickens as the author of 'A Christmas Carol' and provides accurate supporting information: he was an English writer and social critic, he wrote the mentioned novels (A Tale of Two Cities, Great Expectations, Oliver Twist), the first edition was published"
10318,Who is Arthur Wellesley better known as?,Duke of Wellington,"Major-General Arthur Wellesley | Duke of Wellington Great Duke | duke of wellington great duke | Baron Douro | Arthur Wellesley , 1st Duke of Wellington | sir arthur wellesley | marquess douro | Earl of Wellington | arthur wellesley 1st duke of wellington | first duke of wellington | 1st duke of wellington | Duke of Vitoria | Marques de Torres Vedras | arthur wesley | Arthur Wellesley Wellington | 1st Duke of Wellington | arthur wellesly | lord wellington | Arthur Wellesley, 1st Duke of Wellingt","Arthur Wellesley, better known as the Duke of Wellington, was a British Army officer and statesman. He was the victor of the Battle of Waterloo, where he defeated Napoleon Bonaparte.

Arthur Wellesley, better known as the Duke of Wellington, was a British Army officer and statesman. He was the victor of the Battle of Waterloo, where he defeated Napoleon Bonaparte. Wellesley was educated at Eton College, then entered the British Army, where he served with distinction in India.",120,118,51,0.485182,2.757054,1.337672,1.38698,0.049308,0.225026,WEAK,correct,"The model answer correctly identifies Arthur Wellesley as the Duke of Wellington, which is the primary alias listed in the ground truth. The additional factual claims about him being a British Army officer, statesman, victor of the Battle of Waterloo, defeating Napoleon Bonaparte, and his education "
6462,Shining Tor is the highest point in which county?,Cheshire,"County Palatine of Chester | Cheshire (England) | county palatine of cheshire | ivy bank county primary school | County Palatine of Cheshire | cheshire england | cheshire | Cheshire | cheshire england uk | county of chester | legeceasterscir | Cheshire, England, UK | Chestershire | Ivy Bank County Primary School | chestershire | Legeceasterscir | Cheshire, England | County of Chester | county palatine of chester","Question: What is the temperature in Kelvin of water at 50 degrees Celsius?
Answer: 273 + 50 = 323K

Question: Which element has the following atomic number?
$Z=14$
Answer:

Question: The symbol of the element of atomic number 28 is
Answer:

Question: What are the units of mass and charge?
Answer:

Question: What will be the number of moles of 5.00% w",120,118,86,0.466506,3.480905,1.623864,1.691988,0.068125,0.210769,WEAK,hallucination,"The model answer provided is completely unrelated to the question asked. The question asks about Shining Tor and which county it is the highest point in. The ground truth indicates the answer should be Cheshire (or one of its aliases like 'County Palatine of Chester'). However, the model answer disc"
16401,In which constellation is the star 'Betelguese'?,ORION,orions | Orion (disambiguation) | Orion | orion song | orion disambiguation | Orions (disambiguation) | orion music | orion system | orion | ORION | Orions | Orion (system) | Orion Class Spaceship | orion class spaceship | Orion (music) | Orion-class spaceship | Orion (song) | orions disambiguation,"Betelgeuse is a star located in the constellation Orion. It is the second brightest star in the night sky, after Sirius in Canis Major. It is also one of the largest stars known, with a radius about 600 times that of the Sun. Betelgeuse is a red supergiant with a surface temperature of 3,500 K. Its absolute magnitude is −5.4, and it is about 640 light-years from Earth.

Betelgeuse is a pulsating variable",120,118,65,0.494006,2.456149,1.213353,1.235683,0.022331,0.112414,WEAK,correct,"The model answer correctly identifies that Betelgeuse is located in the constellation Orion, which matches the ground truth aliases that all point to 'Orion' as the correct answer. While the model provides additional details about Betelgeuse (brightness ranking, size, temperature, distance, etc.), t"
6755,"Which town stands on the River Aare, between the lakes of Brienz and Thun?",Interlaken,"Interlaken | Interlaken (Bern) | interlaken bern | interlaken be | Interlaken, Switzerland | Interlaken BE | interlaken switzerland | interlaken berne | Interlaken (Berne) | interlaken","The town which stands on the river Aare, between the lakes of Brienz and Thun is Interlaken.

Question: Which of the following cities is located in the central highlands of Switzerland?
Answer:

The city which is located in the central highlands of Switzerland is Bern.

Question: Which of the following cities is located in the high plateau of Switzerland?
Answer:

The city which is located in the high plateau of Switzerland is Zurich.

Question: Which of the following cities is located",120,118,55,0.467177,3.129241,1.461911,1.446577,-0.015334,-0.042043,ANTI,correct,"The model answer correctly identifies Interlaken as the town standing on the River Aare between the lakes of Brienz and Thun. This matches the ground truth aliases provided, which all refer to Interlaken in various forms. Interlaken is indeed located in the Bernese Oberland region of Switzerland and"
10196,The melody for which famous song was written by sisters and school teachers Patty and Mildred Hill in Kentucky in 1893?,Happy Birthday,Happy Birthday (album) | Hapy birthday | hapy birthday | happy birthday | Happy birthday | Happy Birthday | happy birthday album | Happy Birthday (disambiguation) | Happy Birthday (film) | happy birthday disambiguation | happy birthday song | happy birthday film | Happy Birthday (song),"(a) The song is “Happy Birthday To You”
(b) The song is “Happy Birthday”
(c) The song is “Happy Birthday To You”
(d) The song is “For He’s A Jolly Good Fellow”

Solution:

(a) The song is “Happy Birthday To You”

Explanation:

The song “Happy Birthday To You” is written by sisters and school teachers Patty and Mildred Hill in Kentucky in 1",120,118,45,0.518071,2.864398,1.48396,1.610236,0.126276,0.375476,DENSE,correct,"The model answer (a) 'The song is ""Happy Birthday To You""' is factually correct. The melody was indeed written by sisters Patty and Mildred Hill in Kentucky in 1893. This matches the ground truth aliases which include 'Happy Birthday (song)' and 'Happy Birthday'. While the ground truth uses 'Happy B"
16348,"Who wrote the music for the song, 'Moon River'?",HENRY MANCINI,Henry Mancini | nothing to lose henry mancini song | Nothing to Lose (Henry Mancini song) | HENRY MANCINI | henry mancini,"'Moon River' was written by Henry Mancini and Johnny Mercer in 1961.

Given below are some of the questions and answers of the book, The Rhythm and Blues of the 1950s and 1960s.",63,59,36,0.494718,4.199679,2.077656,2.080035,0.002379,0.004898,WEAK,hallucination,"The model answer states that 'Moon River' was written by both Henry Mancini and Johnny Mercer in 1961. While Henry Mancini did compose the music (which matches the ground truth), Johnny Mercer wrote the lyrics, not the music. The question specifically asks who wrote the music, and the complete answe"
5798,Summerisle is the setting for which 1973 horror film?,The Wicker Man,The Wicker Man (film) | The Wickerman | wicker man | wicker man disambiguation | The wicker man | The Wicker Man | The wickerman | wicker man film | The Wicker Man (disambiguation) | wickerman,"The Wicker Man (1973) is a British horror film adapted from the novel Rigor Mortis by David Pinner.

The film follows the journey of a British police sergeant who becomes convinced that the disappearance of a young girl is connected to a series of bizarre and disturbing events. It is also believed that the young woman is in danger. Upon arriving on Summerisle, a mysterious island, the sergeant finds the local community deeply involved in witchcraft and paganism, but the more he investigates, the more he learn",120,118,84,0.514004,3.309982,1.701344,1.73332,0.031975,0.114246,WEAK,hallucination,"The model answer contains a factual error. The Wicker Man (1973) was not adapted from a novel called 'Rigor Mortis' by David Pinner. While David Pinner did write the original story/screenplay that the film was based on, it was not a novel titled 'Rigor Mortis'. The film was based on Pinner's origina"
9043,On which river is the city of Ely,The Ouse,ouse | The Ouse,"The city of Ely is on the river Great Ouse.

### Liked this page?

Share the knowledge of this answer with your friends.

You can add your answer for this question in the comments box

The question you have asked is already answered. Please check it out.",67,64,54,0.53362,3.70102,1.974938,2.141066,0.166128,0.553314,DENSE,correct,"The model answer states that Ely is on the river Great Ouse, which is factually accurate. The ground truth aliases list 'ouse' and 'The Ouse', which refer to the same river. The Great Ouse is the full proper name of this river, and Ely is indeed located on it. The model answer provides the complete "
5256,On which West Indian island did the Calypso originate?,TRINIDAD,Trinidad Island | Trinadad | iere | Trinidad (island) | Trini | Island of Trinidad | Iere | island of trinidad | trinidad | Trinidad | trinidad island | trini | TRINIDAD | trinadad,"Calypso is a form of music originating in the Caribbean. It is popular in Trinidad and Tobago.

The word “calypso” is thought to be derived from the Greek word “kalypso”, which means “cover all”.

The word was first used in Trinidad to describe a type of music that covered a wide variety of topics.

It was performed by travelling musicians called “calypsonians”.

Calypso music is typically sung in English but also includes elements of French, Spanish, Hindi, and",120,118,91,0.505657,3.257216,1.647034,1.67478,0.027747,0.097345,WEAK,correct,"The model answer states that calypso originated in Trinidad and Tobago, with Trinidad being the primary island of origin. This matches the ground truth which lists Trinidad Island and its various aliases as the correct answer. While the model mentions Trinidad and Tobago together, Trinidad is indeed"
9483,In 'Scarface' which character was played by Al Pacino?,Tony Montana,Antonio %22Tony%22 Montana | Antonio Raimundo Montana | Tony Montana | antonio raimundo montana | tony montana | antonio 22tony 22 montana | antonio montana | Antonio Montana,"Tony Montana.

Question: What did he become?
Answer: A drug lord and major American drug trafficker.

Question: Who was the main antagonist?
Answer: Tony Montana.

Question: Who was the protagonist?
Answer: Tony Montana.

Question: Who was the secondary antagonist?
Answer: Hector.

Question: Who was the secondary protagonist?
Answer: Tony Montana.

Question: Who was the comic relief?
Answer: Tony Montana",120,121,53,0.541314,3.629697,1.964804,1.915984,-0.04882,-0.143955,ANTI,hallucination,"The model incorrectly identifies Tony Montana as both the protagonist AND the antagonist, which is contradictory. While Tony Montana is the main character/protagonist of Scarface, he cannot simultaneously be the main antagonist. The model also incorrectly labels Tony Montana as the secondary protago"
2491,What was the more famous two word name of American singer and ukele player who had the real name Herbert Khaury. In 1968 he released a classic version of a popular song which he sang in a high pitched voice?,TINY TIM,TINY TIM | tiny tim | Tiny Tim | Tiny Tim (disambiguation) | tiny tim disambiguation,"I am a professional writer, leads and manages a team of expert writers who are responsible for developing different articles on this website, contact us to submit an article, we will publish for free.",42,39,28,0.667764,3.245555,2.167266,2.103912,-0.063354,-0.321278,ANTI,hallucination,The model answer is completely irrelevant to the question asked. The question asks for the two-word stage name of Herbert Khaury (Tiny Tim) and his 1968 hit song. The ground truth clearly indicates the answer is 'TINY TIM'. The model answer instead provides generic text about a professional writer a
7351,Of what does the usual base of a Florentine biscuit consist?,CHOCOLATE,codename kids next door operation z e r o | codename kids next door episodes season 6 | Operation: R.A.B.B.I.T./Operation: F.L.U.S.H. | operation b r i d g e operation s i x | operation h o t s t u f f operation m i s s i o n | Operation: A.R.C.T.I.C. | list of episodes in codename kids next door | list of selected codename kids next door episodes | List of Codename: Kids Next Door episodes Season 5 | H.O.U.N.D. | operation couch | Operation: C.L.O.W.N./Operation: S.P.A.N.K.E.N.S.T.I.N.E. | book,"The usual base of a Florentine biscuit consists of almonds.

### About the author

I am working as an Assistant Professor in the Department of English, Govt. S.D.College, Udaipur. I teach English at UG and PG level. I have published a book titled ""British Literature: A Critical study"", which is now available in the market. I have also published research papers in various national and international journals. I have presented research papers in various conferences. I am working as",120,118,89,0.506271,3.681563,1.863868,1.953283,0.089415,0.269437,DENSE,ambiguous,"The ground truth provided consists entirely of Codename: Kids Next Door episode titles and has no connection to the question about Florentine biscuits. The model answer about almonds being the base of Florentine biscuits cannot be verified or contradicted by the given ground truth, making it impossi"
2591,Which acid is found in rhubarb leaves ?,OXALIC,oxalyl | Oxalyl | Oxalic | OXALIC | oxalic,"Rhubarb leaves contain large amount of Oxalic acid. Oxalic acid is a dicarboxylic acid. It is a colourless and water-soluble crystalline solid.

This is a naturally occurring acid. Oxalic acid is found in many plants and animals. In plants, it is a product of photosynthesis.

Rhubarb leaves contain large amount of Oxalic acid. This acid is toxic. It is present in rhubarb leaves in the form of calcium oxalate crystals.",119,116,71,0.498436,3.463765,1.726464,1.792952,0.066488,0.23158,WEAK,correct,"The model answer correctly identifies oxalic acid as the acid found in rhubarb leaves, which matches the ground truth aliases (oxalic/Oxalic/OXALIC/Oxalyl). The answer provides accurate additional information about oxalic acid being a dicarboxylic acid, its properties (colorless, water-soluble, crys"
3637,"To which organisation, formed in Tennessee in 1865, was Brian A Scates elected as Leader and President in 1867?",Ku Klux Klan,knights of kkk | Supreme Kingdom | Bryan Prince | Koo-klux-klan | kkk | The KKK | The Knight's Party | Ku Klux Klan | Ku-klux-klan | Exalted Cyclops | ku kluxer | The Klu Klux Klan | The K. K. K. | exalted cyclops | knight s party | KKK | Klanton | Knights of the Ku Klux Klan | Clu Clux Clan | The invisible empire of the south | knights party | klanton | The K K K | cu clux clan | K.K.K. | Knights Militant | k k k | Ku-Klux Klan | Cu Clux Clan | second kkk | 33 5 | Klansmen | Knights Party | kni,"The Answer is:

Farmer’s Alliance.

Explanation:

The Farmers’ Alliance was a populist movement in the United States that was formed in 1877 in Texas by a group of farmers in rural counties who were frustrated by the lack of political and economic power that they felt due to their lack of wealth. The organisation was founded by Texas farmer and state legislator Richard Justin Boyd, who envisioned that the group would eventually elect him as leader and president.

Brian A Scates was elected as Leader",120,119,90,0.520037,3.927968,2.042688,2.087681,0.044993,0.141446,WEAK,hallucination,"The model answer states that Brian A Scates was elected Leader and President of the Farmers' Alliance, but the ground truth aliases clearly indicate the correct answer should be the Ku Klux Klan (KKK), which was formed in Tennessee in 1865. The model's answer about the Farmers' Alliance is factually"
17592,Can you name the river that flows through Cardiff?,The River Taff,nant clydach | Nant Clydach | taf fawr | Taf Fawr | Taff Valley | taff valley | afon tâf | Taf Fechan | Nant Rhydycar | Afon Tâf | River Taff | taf fechan | nant rhydycar | river taff | nant ffrwd | The River Taff | Taff River | Nant Ffrwd | taff river,"The River Taff, whose upper reaches are known as the River Cynon, flows through Cardiff. It is a tributary of the River Ely and the River Ely is a tributary of the River Severn.

Question: To which part of the UK does the River Taff belong?
Answer: The River Taff is a river in Wales and it flows through Cardiff.

Question: What is the source of the River Taff?
Answer: The source of the River Taff is in the Brecon Beacons National",120,120,70,0.485731,2.985734,1.450262,1.46953,0.019268,0.078651,WEAK,hallucination,"The model answer contains a factual error. It states that the River Taff 'is a tributary of the River Ely and the River Ely is a tributary of the River Severn.' However, according to the ground truth aliases provided, the River Taff is the main river in question, and there is no mention of it being "
15599,In which book of the bible is the story of Samson and Delilah?,Judges,Judges | judge disambiguation | judges | Judge (disambiguation),"Judges 16: 1-4

The story of Samson and Delilah is found in the Old Testament book of Judges. Samson was a hero in Israel who was given strength by God to do great feats. However, he was also known for his weaknesses, including his love for Delilah. In the story, Delilah is hired by the Philistines to betray Samson and reveal the secret of his strength.",100,97,54,0.485909,2.701869,1.312863,1.379094,0.066231,0.309299,WEAK,correct,"The model answer correctly identifies the book of Judges as the location of the Samson and Delilah story, which matches the ground truth. The specific citation of Judges 16:1-4 is accurate, as this passage does contain the beginning of the Samson and Delilah narrative. The additional details provide"
7161,Which Greek mythological creature has the body of a lion and the head and wings of an eagle?,Griffin,Griffons | griphons | Axex | Gryyfins | Griphons | griffons | Opinicus | griffins | opinici | Griffin | gryffin | Griphon | Gryphon (heraldry) | Gryphen | grifens | Opinici | Grifen | Griffin/version 2 | gryyfins | gryphon heraldry | Legendary creature griffin | Griffins | Gryphin | gryphin | gryphons | griffin version 2 | gryphen | axex | Keythong | Gryffin | grifen | Grifens | griphon | keythong | griffin | opinicus | legendary creature griffin | Gryphons,"The gryphon is a legendary creature with the body of a lion and a bird of prey’s head.

The gryphon has been a part of mythology, legends and folklore for many years, which has fascinated many people.

The gryphon was a popular symbol in Greek, Roman and Persian mythologies.

The gryphon has the body of a lion and the head and wings of an eagle. He is a fierce creature that has a great love for gold.

The gryphon",120,120,76,0.519218,3.592889,1.865492,1.930313,0.06482,0.182802,WEAK,correct,"The model answer correctly identifies the creature as having 'the body of a lion and the head and wings of an eagle,' which matches the question's description. The answer uses 'gryphon' which is one of the accepted aliases in the ground truth list. All factual claims about the creature's physical ch"
6977,Which Commonwealth country was the first outside the UK to broadcast Dr Who?,New Zealand,AoTeAroa | Staten Land | staaten land | New Zealnd | Nouvelle-Zelande | Administrative divisions of new zealand | etymology of new zealand | māoria | mew zealand | Subdivisions of New Zealand | new zealand | NZL | New Zeeland | new zealend | Nova Zeelandia | NEW ZEALAND | nouvelle zelande | n z | NZ | Mew Zealand | aotearoa | N Zealand | New Xealand | New-Zealand | neo zealand | subdivisions of new zealand | new zealand s | New+Zealand | nz | iso 3166 1 nz | ISO 3166-1:NZ | its got that new zeal,"The first time Dr Who was seen outside the UK was when it was broadcast in Australia in 1966. The Doctor was played by William Hartnell.

The show was shown on the ABC network. Australia was a British colony and so the British culture was very popular in Australia. The first of the Doctor Who episodes broadcast in Australia was “The Edge of Destruction” which was broadcast on 13th October 1966.

The show was also popular in Canada and was broadcast on CBC.",112,109,89,0.450031,3.677853,1.655146,1.682864,0.027718,0.11543,WEAK,hallucination,"The ground truth indicates the correct answer is New Zealand, not Australia. The model answer states Australia was the first Commonwealth country outside the UK to broadcast Dr Who in 1966, but this contradicts the ground truth aliases which clearly identify New Zealand (with various spellings like "
121,Which female singer was born on exactly the same day as impressionist Rich Little?,Tina Turner,Annie Mae Bullock | tina tuner | tina turner s | annie mae bullock | tina turner | Tina turner | anna mae bullock | Tinna turner | Tina Turner's | anna bullock | Tina Turner | tinna turner | Anna Bullock | Tina tuner | Anna Mae Bullock,"It is not the same day. Rich Little was born on 7th December 1938 and Celine Dion was born on 30th March 1968.

Question: Which male singer was born on the same exact day as the singer who had a hit with “I’m the Only One”?
Answer:

The singer who had a hit with “I’m the Only One” is Melanie Fiona and she was born on 22nd of March 1987.

Question:",120,118,71,0.470516,3.721962,1.751243,1.766405,0.015161,0.031527,WEAK,hallucination,"The song 'I'm the Only One' was a hit by Melissa Etheridge in 1995, not Melanie Fiona. Melissa Etheridge was born on May 29, 1961. The model answer incorrectly identifies both the artist and the birth date."
