idx,name,source,text,n_tokens,n_valid,mean_delta,mean_sigma,A_marginal,A_joint,A_cov,pearson_rho,signature
55718,alfred edward taylor,REF,"alfred edward taylor -lrb- 22 december 1869 -- 31 october 1945 -rrb- was a british idealist philosopher most famous for his contributions to the philosophy of idealism in his writings on metaphysics , the philosophy of religion , moral philosophy , and the scholarship of plato .
he was a fellow of the british academy -lrb- 1911 -rrb- and president of the aristotelian society from 1928 to 1929 .
at oxford he was made an honorary fellow of new college in 1931 .
in an age of universal upheaval and ",178,116,0.489981,3.988682,1.954378,2.096842,0.142464,0.343113,ALIGNED
55718,alfred edward taylor,GEN,"Alfred Edward Taylor (1833-1906)

Father of Australian Botany

Alfred Edward Taylor was born in London on 30 January 1833. After his parents died, he was educated and then employed by his uncle, who was the Chief Hydraulic Engineer at the Royal Botanic Gardens, Kew. He studied botany and the natural sciences at Kew, and in 1856 he was appointed as the assistant at the Botanical Museum at Kew.

He gained a reputation as the foremost botanical illustrator of his day. He published a number of paper",201,138,0.510484,3.491039,1.78212,1.844498,0.062378,0.181591,MIXED
69994,brett wilkinson,REF,"brett wilkinson -lrb- born 29 november 1983 -rrb- is a south african born rugby union coach and former player who is currently the head coach of buccaneers .
he played for irish provincial side connacht in the pro 12 .
he played as a prop .",73,55,0.492267,3.943894,1.941448,2.070901,0.129453,0.315474,ALIGNED
69994,brett wilkinson,GEN,"Brett Wilkinson

Brett Wilkinson is a businessman and entrepreneur who has made a name for himself in the world of online marketing. He is also the founder of several successful online businesses, including Wilkinson Marketing, which offers a variety of marketing services to businesses and individuals. Wilkinson is known for his innovative marketing techniques and his ability to help businesses succeed online.

Wilkinson grew up in a small town in the United States and always had an interest in ",200,108,0.498001,2.494844,1.242435,1.264968,0.022533,0.093603,MIXED
473,skeeter werner walker,REF,"gladys maxine `` skeeter '' werner walker -lrb- december 22 , 1933 -- july 20 , 2001 -rrb- was an alpine ski racer and olympian from the united states .
born and raised in steamboat springs , colorado , `` skeeter '' werner learned to ski and race at howelsen hill .
an alternate for the 1952 olympic team , she was youngest member of the u.s. ski team at the 1954 world championships and the u.s. olympic team in 1956 .
werner retired from competition in 1958 , and modeled and designed fashions in ",382,228,0.513776,3.538741,1.818121,1.923024,0.104903,0.27215,ALIGNED
473,skeeter werner walker,GEN,"Skeeter Werner Walker (born William Henry Walker, March 18, 1946-Present) is an American singer and songwriter, best known for his 1954 hit ""Sittin' on the Dock of the Bay"". As a songwriter, he wrote the 1967 hit ""Soul Man"" for the band Booker T. & the MG's and the 1970 hit ""Ain't No Sunshine When She's Gone"" for Bill Withers. His 1973 hit ""Little Green Apples"" was a #1 country hit for Johnny Cash.

Walker was born in Memphis, Tennessee but grew up in St. Louis, Missouri. He released his first s",198,125,0.534797,3.268542,1.748006,1.843771,0.095764,0.268615,MIXED
19388,nicholas henry charles cooper,REF,"nicholas henry charles cooper -lrb- born 14 october 1953 -rrb- is a former english cricketer .
cooper was a left-handed batsman who bowled right-arm off break .
he was born in bristol .
cooper made his first-class debut for gloucestershire against yorkshire in the 1975 county championship .
he made sixteen further first-class appearances for the county , the last of which came against worcestershire in the 1978 county championship .
in his seventeen first-class matches for the county , he scored",566,311,0.518135,2.874904,1.489587,1.562002,0.072414,0.238209,MIXED
19388,nicholas henry charles cooper,GEN,"Nicholas Henry Charles Cooper was born in San Diego, California on February 26, 1993. He is a professional bodybuilder and former college football player. He played college football at the University of Utah and was a member of the Utah Utes football team. After college, he played professionally for the San Diego Chargers in the National Football League. Cooper is currently a free agent.

Cooper is 6’1″ and weighs 210 pounds. He is of mixed race, with his father being white and his mother being ",198,112,0.49699,2.759736,1.371561,1.390112,0.018551,0.084874,MIXED
61201,steve foster,REF,"steven eugene foster , jr. -lrb- born august 16 , 1966 -rrb- is a former major league baseball professional baseball relief pitcher with the cincinnati reds who currently serves as pitching coach for the colorado rockies .",62,40,0.462009,4.425156,2.044462,2.274329,0.229867,0.435325,ALIGNED
61201,steve foster,GEN,"Steve Foster

Steve Foster was born in Houston, Texas on January 1, 1955. He spent most of his life living in Houston and attended college at the University of Houston. He received his degree in Communications. He is the eldest of four children and has one brother and two sisters. Steve lost his father when he was 10 and his mother when he was 22. He was the head of household at the young age of 12 and took care of his younger siblings. He was married to his wife, Sharon, for 37 years. He has tw",201,156,0.480662,3.365407,1.617624,1.667245,0.049622,0.173031,MIXED
39683,nazmi avluca,REF,"nazmi avluca -lrb- ; born november 14 , 1976 in kargı , Çorum province -rrb- , is a turkish sports wrestler , who has won several titles at international competitions including four european and two fila wrestling world championships in the men 's greco-roman category .
he took also part at the 1996 and 2000 olympics without success , and then finally achieved olympic success with a bronze medal in 2008 in beijing .
he also competed at the 2012 summer olympics .
currently , he is an active membe",340,238,0.443188,3.621394,1.604957,1.662053,0.057096,0.145769,MIXED
39683,nazmi avluca,GEN,"Nazmi avluca.

Nazmi avluca.

An academic and researcher in the Faculty of Science, Hacettepe University, Ankara. He was born in Afyonkarahisar on 11 February 1951. He graduated from Afyonkarahisar Anatolian High School in 1969. He graduated from the Department of Chemistry at Hacettepe University, Faculty of Science, in 1974. He received his master’s degree in 1979 and his PhD in 1983 in the Chemistry Department of Hacettepe University. He worked as a research assistant between 1974-1981, as a ",198,100,0.478737,2.903466,1.389996,1.479384,0.089388,0.263407,MIXED
40114,vladislav rudenko,REF,"vladislav igorevich rudenko -lrb- ; born 15 march 1996 -rrb- is a russian football player .
he plays for fc biolog-novokubansk progress .
he made his debut in the russian professional football league for fc taganrog on 28 march 2015 in a game against fc alania vladikavkaz .",96,62,0.582514,4.150674,2.417825,2.54685,0.129025,0.277867,ALIGNED
40114,vladislav rudenko,GEN,"Vladislav Rudenko

Vladislav Rudenko is a Ukrainian-born American artist and author. He was born in 1971 in the city of Dnepropetrovsk in the Ukrainian Soviet Socialist Republic, and later moved to New York City in 1991. He graduated from the Art Institute in 1995. He is currently based in New York City and has many works in the United States and abroad.

Rudenko's art includes sculptures, paintings, and digital art. He is known for his realistic sculptures and paintings that explore themes of h",201,127,0.500377,3.266323,1.634395,1.678753,0.044359,0.146026,MIXED
68089,georgette tissier,REF,"georgette tissier -lrb- 1910 -- 1959 -rrb- was a french actress .
she was the wife of the actor jean tissier .",46,39,0.527188,4.985733,2.628417,2.82707,0.198653,0.412003,ALIGNED
68089,georgette tissier,GEN,"Georgette Tissier

Georgette Tissier is a French singer, actress, and dancer born in 1907. She started her career as a dancer and soon became a popular figure in the cabaret scene in Paris. In the 1930s, she began to sing and act in films, and her performances were often highly praised. Tissier was known for her unique style, which combined elements of jazz, blues, and folk music. She was also an accomplished actress, appearing in numerous films throughout her career.

Tissier’s career was cut s",199,105,0.521791,2.556652,1.334037,1.3403,0.006262,0.033511,MIXED
7887,danielle murphy,REF,"danielle murphy -lrb- born 4 june 1981 -rrb- is an english footballer .
she plays as a midfielder or defender for barnet ladies and has represented england at senior international level .",55,43,0.541662,3.846185,2.08333,2.216777,0.133447,0.267752,ALIGNED
7887,danielle murphy,GEN,"DANIELLE MURPHY

Danielle Murphy is a writer and photographer, currently based in Los Angeles, CA. Danielle currently works as an associate editor for CALIFORNIA LIFE + STYLE. She is also the co-founder of the local publication VENICE MAGAZINE.

When she is not working, Danielle enjoys visiting the beaches of Los Angeles, taking road trips and spending time with her family and friends. Danielle is also an avid traveler and has visited over 20 countries. She is also passionate about photography a",200,137,0.516692,3.618556,1.869678,1.897155,0.027477,0.081917,MIXED
36629,craig samson,REF,"craig ian samson -lrb- born 1 april 1984 in irvine , scotland -rrb- is a scottish footballer , who currently is a free agent after being released by kilmarnock in august 2015 .
he began his career with kilmarnock , but made only one league appearance and spent time on loan to queen of the south and st. johnstone before leaving the club in 2005 .
he then spent a season each with dundee united , ross county , dundee , hereford united and ayr united .
in 2010 , samson joined st. mirren , where he p",226,142,0.495272,3.326064,1.647307,1.781744,0.134436,0.366768,ALIGNED
36629,craig samson,GEN,"Craig Samson is a Canadian actor and singer. He is best known for his role as Robbie in the Netflix series, “A Series of Unfortunate Events”.

Craig was born on December 29, 1988 in Vancouver, British Columbia. He began his acting career at the age of 11, appearing in commercials and small roles in television shows. He made his film debut in the 2004 movie, “Freddy vs. Jason” as a young Jason Voorhees. He then appeared in the television series, “Smallville” in 2005 as a young Clark Kent/Superman",198,97,0.528898,2.95527,1.563037,1.581323,0.018286,0.05554,MIXED
40411,hans krebs,REF,"hans krebs -lrb- 4 march 1898 -- 1/2 may 1945 -rrb- was a german army -lrb- wehrmacht heer -rrb- general of infantry who served during world war ii .
he was also a recipient of the knight 's cross of the iron cross with oak leaves -lrb- -rrb- .
the knight 's cross of the iron cross and its higher grade oak leaves was awarded to recognise extreme battlefield bravery or successful military leadership .",122,68,0.537655,3.956715,2.127348,2.207843,0.080494,0.175895,MIXED
40411,hans krebs,GEN,"Hans Krebs was born in Hannover, Germany on 26th August 1900. He studied medicine at the Universities of Marburg and Berlin. His doctorate, which he received in 1923, was on the effect of the thyroid hormone on the metabolism of liver and muscle. He spent 4 years (1924-28) as a research assistant to Otto Warburg in Berlin. His interests were in the metabolism of amino acids and their relationship to the Krebs cycle. In 1929 he was appointed to the University of Freiburg as a professor of physiol",201,136,0.519256,3.278755,1.702512,1.728911,0.026399,0.081601,MIXED
36063,james h. slater,REF,"james harvey slater -lrb- december 28 , 1826january 28 , 1899 -rrb- was a united states representative and senator from oregon .
an illinois native , slater also served in the oregon territory 's legislature , then later the oregon state legislature , and was the owner of the `` corvallis union '' newspaper .",91,70,0.468555,4.017895,1.882605,2.046322,0.163716,0.315866,ALIGNED
36063,james h. slater,GEN,"James H. Slater

James H. Slater was born in 1837 in Philadelphia, Pennsylvania. His family moved to the town of Cedarville, Ohio when he was a child. He grew up on a farm in Cedarville, and attended local public schools. He learned the trade of cabinet making from his father.

In 1861, Slater enlisted in the Union Army, and served as a private in the 5th Ohio Infantry Regiment. He was wounded at the Battle of Shiloh in 1862, and was discharged from the army in 1864.

After the war, Slater retur",201,107,0.524766,3.019816,1.584697,1.636324,0.051626,0.157459,MIXED
60316,katie ghose,REF,"katie sushila ratna ghose -lrb- born 13 july 1970 -rrb- is an english campaigner and lawyer .
she is the current chief executive of the electoral reform society .
ghose was national chair of the unsuccessful yes !
to fairer votes campaign in the 2011 uk alternative vote referendum .
she has served both as director of the british institute of human rights and as national campaigns manager for the charity age concern .
she has sought selection in several parliamentary seats for the labour party , ",130,99,0.483282,4.217232,2.038114,2.212318,0.174203,0.349462,ALIGNED
60316,katie ghose,GEN,"Katie Ghose was born in England, and raised in the United States by her parents, who were in the US military. She received a BA in English Literature, and a Master of Fine Arts in Creative Writing. Her poetry has been published in print and online, most recently in the anthology, Love is a Four-Letter Word. She has read her poetry at the National Poetry Slam, and was a finalist in the National Poetry Slam. She has taught creative writing to adult and pediatric cancer patients. She currently resi",137,109,0.499541,3.759306,1.877926,1.915163,0.037236,0.096452,MIXED
13208,"frank joseph morze -lrb- march 21 , 1933 in gardner , massachusetts -- may 28 , ",REF,"frank joseph morze -lrb- march 21 , 1933 in gardner , massachusetts -- may 28 , 2006 -rrb- was a center in the national football league for the san francisco 49ers .
morze attended boston college .
he died may 28 , 2006 after a long battle with heart disease .",88,65,0.479058,3.973653,1.903612,2.123853,0.220241,0.489018,ALIGNED
13208,"frank joseph morze -lrb- march 21 , 1933 in gardner , massachusetts -- may 28 , ",GEN,"Frank Joseph Morse: Frank Joseph Morse - LRB - March 21, 1933 in Gardner , Massachusetts -- May 28 , 1970 in Springfield , Massachusetts .

Morse was an American professional football player .

He played as a fullback for the Boston Yanks of the National Football League (NFL) .

A graduate of Gardner High School , Morse attended Boston College , where he played college football, lettering from 1951 to 1953. He was selected by the Yanks in the fifth round (44th overall pick) of the 1953 NFL Draft",201,118,0.508102,3.313989,1.683843,1.744639,0.060796,0.164058,MIXED
40955,charles lister,REF,"charles lister -lrb- 7 november 1811 -- 18 august 1873 -rrb- was an australian cricketer .
he played two first-class cricket matches for victoria .",51,39,0.515406,4.523763,2.331576,2.554492,0.222915,0.475173,ALIGNED
40955,charles lister,GEN,Charles Lister was born on the 28th of February 1803. He was educated at the village school in Eyam. He was a clerk at the cotton factory in Eyam for 3 years. He was a teacher in various schools in the north and midlands for 12 years. He was a teacher in Tapton House school in Sheffield for 3 years. He was the headmaster of the National school in Bolton for 4 years. He was the headmaster of the National school in Bradford for 13 years. He was the headmaster of the National school in Hull for 13 ,199,149,0.486159,3.521296,1.71191,1.773452,0.061543,0.172579,MIXED
1607,paddy harris,REF,"kevin thomas `` paddy '' harris -lrb- born 20 february 1918 , date of death unknown -rrb- was an irish professional football wing half who played in the football league for brentford .",54,44,0.537696,4.399906,2.36581,2.563353,0.197543,0.351904,ALIGNED
1607,paddy harris,GEN,"Paddy Harris

Paddy Harris was born in 1978 in Belfast, Northern Ireland. He is a talented and successful journalist, who has worked for both independent and corporate media outlets. Paddy has extensive experience covering a wide variety of stories, from politics to sports to arts and culture. He is known for his ability to tell stories in a clear and engaging way, and for his commitment to accuracy and fairness. Paddy’s work has been widely praised by his peers and the public, and he has won nu",200,113,0.49372,2.745388,1.355454,1.398087,0.042633,0.165383,MIXED
12053,bjørnar holmvik,REF,"bjørnar pettersen holmvik -lrb- born 2 june 1985 -rrb- is a norwegian football defender and winger currently playing for bryne .
he played for stabæk from 2003 to 2008 and for sk brann from 2009 to 2011 .
sk brann did not wish to renew bjørnar holmvik 's contract and he went on to sign with newly promoted tippeliga-club sandnes ulf .
on 28 july he signed a contract with the swedish club kalmar .
in 2015 he joined bryne .",154,92,0.554996,3.91494,2.172777,2.264176,0.091399,0.21855,MIXED
12053,bjørnar holmvik,GEN,"Bjørnar Holmvik is a Norwegian artist who was born in 1978. He is well-known for his paintings and sculptures that often explore themes of human psychology and the complexity of human relationships. His work has been exhibited in galleries and museums worldwide and has received numerous awards and accolades for his artistic achievements.

Early Life and Education:

Holmvik was born in Oslo, Norway, and studied at the National Academy of Fine Arts in Oslo. He received his MFA in 2002 and has been",198,107,0.529061,2.610694,1.381216,1.382452,0.001236,0.004625,MIXED
61852,brian roy goble,REF,"brian roy goble , -lrb- january 4 , 1957 -- december 7 , 2014 -rrb- , also known as wimpy roy or brian `` sunny boy roy '' goble , was a canadian singer and musician .
he played bass for many vancouver punk bands .
first with stone crazy , brian then went to punk rock , playing bass with the skulls before becoming lead singer for the subhumans when the skulls split .
after the demise of subhumans , brian joined d.o.a. in the middle of the ' 80 's as bass player and second singer and quit in the ",208,155,0.485358,3.976896,1.93022,2.03016,0.09994,0.230255,MIXED
61852,brian roy goble,GEN,"Brian Goble was born in Portland, Oregon. His family moved to a rural farm in Eastern Oregon when he was 2 years old. His father was a minister and his mother was a housewife; he was the youngest of 8 children. He grew up with 6 older brothers and one sister.

Brian was a shy, quiet child, and he was very nervous about going to school. He had a lot of trouble with reading and writing, and it wasn’t until he was in 5th grade that he started to make friends. He had a very difficult time in school,",198,156,0.485863,3.168498,1.539454,1.55628,0.016825,0.074182,MIXED
48158,alexei vasiliev,REF,"alexei sergeyevich vasiliev -lrb- Васильев , Алексей Сергеевич ; born september 1 , 1977 -rrb- is a russian professional ice hockey defenseman who plays for torpedo nizhny novgorod of the kontinental hockey league .
he played in one national hockey league game for the new york rangers during the 1999 -- 2000 nhl season .
vasiliev also spent 12 seasons playing for lokomotiv yaroslavl in the russian superleague & kontinental hockey league .
his contract was not renewed for the 2011 -- 12 khl seaso",190,102,0.515104,3.429162,1.766375,1.899386,0.133011,0.357768,ALIGNED
48158,alexei vasiliev,GEN,"Alexei Vasiliev

Alexei Vasiliev was born in 1931 in St. Petersburg. His father was killed in the war, and his mother, a widow, was forced to move to Moscow with her son. He graduated from the Moscow State University in 1956 and received his Ph.D. in 1967. He has been teaching modern history and history of Russia since 1958. He is a professor of history at Moscow State University and a professor of Russian history and politics at the Moscow State Institute of International Relations.

Vasiliev i",200,134,0.451238,3.251169,1.46705,1.504731,0.037681,0.151498,MIXED
10490,david weprin,REF,"david i. weprin -lrb- born may 2 , 1956 -rrb- is a democratic member of the new york state assembly , representing district 24 in queens since 2010 .
he was previously a member of the new york city council , representing district 23 .
he is also the former deputy superintendent of the new york state banking commission and former chairman of new york 's securities industry association .
on september 13 , 2011 , weprin lost the special election to the us house of representatives to fill anthony we",154,101,0.46888,3.577694,1.677508,1.801164,0.123656,0.300212,ALIGNED
10490,david weprin,GEN,"David Weprin

David Weprin is a New York State Assemblyman from the 22nd district, which includes the borough of Queens. He was born on May 28, 1957, in the Flushing neighborhood of Queens to Jewish immigrants from Romania. Weprin attended Queens College, where he earned a B.A. in political science in 1978. He then went on to study at Brooklyn Law School, where he earned his J.D. in 1981.

Weprin began his political career in 1985 when he was elected to the New York State Assembly. He served in ",200,105,0.488152,2.581208,1.260021,1.296236,0.036215,0.176178,MIXED
14535,júnior morais,REF,"iraneuton sousa morais júnior -lrb- born 22 july 1986 -rrb- commonly known as júnior morais or júnior maranhão , is a brazilian football player , currently under contract with astra giurgiu .",66,42,0.572048,4.490903,2.569012,2.779469,0.210457,0.383523,ALIGNED
14535,júnior morais,GEN,"Júnior Morais is a Brazilian graphic designer, illustrator, and art director based in New York.

He studied graphic design at the Federal University of Pernambuco and worked in several design agencies back in his homeland. Júnior has worked with editorial projects for a variety of clients, including the New York Times, The New York Times Magazine, Nike, Time, the New Yorker, and The New Yorker Festival. His illustrations have been featured in the New York Times, and his work has been exhibited i",198,136,0.493503,3.607599,1.780362,1.77015,-0.010212,-0.029755,MIXED
55064,sir charles stuart burnett,REF,"air chief marshal sir charles stuart burnett , -lrb- 3 april 1882 -- 9 april 1945 -rrb- was a senior commander in the royal air force during the first half of the 20th century .
he was air officer commanding iraq command during the early 1930s .
during the second world war , he served as chief of the air staff of the royal australian air force .",103,67,0.480325,3.727362,1.790344,2.044292,0.253948,0.554903,ALIGNED
55064,sir charles stuart burnett,GEN,"Sir Charles Stuart Burnett

Sir Charles Stuart Burnett is a world-renowned architect who made a name for himself through his unique and innovative designs. He was born on August 7, 1898, in Dunedin, New Zealand, and passed away on July 24, 1983, at the age of 84.

Burnett’s career spanned over six decades, earning him numerous accolades and recognitions. He was a member of the Royal Institute of British Architects (RIBA) and the New Zealand Institute of Architects (NZIA). He was also awarded a k",200,98,0.531449,2.836178,1.507283,1.534185,0.026903,0.096155,MIXED
53227,diego cafagna,REF,diego cafagna -lrb- born 9 july 1975 in trieste -rrb- is an italian race walker .,33,26,0.582446,4.18687,2.438627,2.556052,0.117424,0.227277,ALIGNED
53227,diego cafagna,GEN,"Diego Cafagna (born 1977) is a composer and improviser. Diego has performed as a soloist and in ensembles in Europe, Asia and North America. He is a member of the Barefoot Ensemble – a group of musicians playing instruments they have built themselves – and of the Mouth Piece – an improvising duo with sound artist Michael Vorfeld. His music has been released on numerous labels including Emanem, FMP, Dedalus, and has received critical acclaim in magazines such as The Wire, Jazzthing, and Touching ",200,158,0.533196,4.247901,2.264964,2.414616,0.149652,0.300704,ALIGNED
35855,viktor ajbek,REF,"viktor ajbek -lrb- 9 september 1920 in vukovar -- 3 february 1993 in zagreb -rrb- was a croatian footballer who played international football for the croatian national team .
he started playing with the youth side of vukovar 's nk sloga before moving to top-flight club concordia zagreb .
he was champion of croatia with concordia in 1942 .
he played one match for the croatian national team : against romania in bucharest .",133,100,0.509129,3.96453,2.018457,2.168717,0.15026,0.353926,ALIGNED
35855,viktor ajbek,GEN,"Viktor Ajbek was born in 1967 in Novy Urengoy. He graduated from the Perm State University in 1991, majoring in the Russian language and literature.

He is a founder of the “Pomogi Vmeste” Charity Fund. He is also a member of the Public Chamber of the Russian Federation, a member of the Russian Philosophical Society, and a member of the Board of Directors of the Russian Union of Industrialists and Entrepreneurs.

He is author of over 40 books, including “The Conversation of a Lifetime”, “The Due",201,146,0.534374,4.375192,2.337988,2.480668,0.142679,0.258039,ALIGNED
72588,chris colepaugh and the cosmic crew,REF,"chris colepaugh and the cosmic crew is a rock band formed in 1996 from moncton , new brunswick , canada .",36,28,0.589393,4.372864,2.577334,2.743041,0.165707,0.240295,ALIGNED
72588,chris colepaugh and the cosmic crew,GEN,"Chris Colepaugh and the Cosmic Crew

Chris Colepaugh and the Cosmic Crew is a Canadian rock band hailing from the small town of Sussex, New Brunswick. The band is comprised of four talented musicians: Chris Colepaugh (vocals, guitar), Kevin Doiron (bass), Mike Riley (guitar), and Jeff Watts (drums).

Chris Colepaugh is the founding member of the band, and has been playing music since he was a young child. He is known for his powerful vocals and his skillful guitar playing. His unique style and c",201,88,0.529275,3.013502,1.594971,1.626743,0.031773,0.079151,MIXED
64643,"jakub orsava -lrb- born february 27 , 1991 -rrb-",REF,"jakub orsava -lrb- born february 27 , 1991 -rrb- is a czech hockey player , who currently plays for hc oceláři třinec .",47,35,0.52535,3.891681,2.044494,2.08938,0.044886,0.106651,MIXED
64643,"jakub orsava -lrb- born february 27 , 1991 -rrb-",GEN,"Jakub Orsava is a Czech professional Ice Hockey player who is currently playing for Sparta Praha, a team in the Czech Extraliga. His position is that of a center.

He was born on February 27, 1991, in Prague, Czech Republic. Orsava started playing hockey at the age of 5 for a local team HC Sparta Praha.

After playing for a few years for HC Sparta Praha, he was drafted by the Chicago Blackhawks in the 2010 NHL Entry Draft, in the second round, pick number 57.

Orsava played for the Chicago Black",198,132,0.469584,2.948405,1.384523,1.421241,0.036718,0.13901,MIXED
39377,deepak mohoni,REF,"deepak mohoni , is an indian stock market analyst , who is famous for coining the term ` sensex ' to name the bombay stock exchange 's -lrb- bse -rrb- bench mark stock index .
mohoni is a graduate from iit kanpur and did his mba from iim calcutta .
he studied at the scindia school gwalior .
he is a regular columnist in `` the economic times '' and business world writing about technical analysis .
he appears regularly on cnbc-tv18 .
he has also appeared on bbc , star tv , doordarshan , and reuter",174,145,0.50269,4.138447,2.080357,2.136716,0.056359,0.135176,MIXED
39377,deepak mohoni,GEN,"Deepak Mohoni

“The only way to get rid of temptation is to yield to it.”- Oscar Wilde

Deepak Mohoni is a senior Indian journalist, with over 30 years of experience in both electronic and print media. Currently he is Editor at 92.7 Big FM and the author of six books.

In the beginning of his career he was a Senior Journalist and Anchor with Zee News, where he anchored and produced a number of programmes, including Zee Café. He also hosted and produced the award-winning show ‘Duniya Ka Sabse Bad",200,143,0.5192,4.068812,2.112529,2.140522,0.027993,0.07406,MIXED
53557,paul jones,REF,"paul jones -lrb- born paul pond , 24 february 1942 -rrb- is an english singer , actor , harmonica player and radio personality and television presenter .",47,36,0.490403,4.491278,2.202536,2.340913,0.138377,0.322777,ALIGNED
53557,paul jones,GEN,"Paul Jones is a talented, dedicated, and intelligent individual. He was born on October 20, 1980 in the state of Georgia. He was raised in a single parent family. He has two sisters. One sister, Paula is older and the other sister, Porsche is younger. Paul has lived in Georgia most of his life. He has moved around a lot within Georgia.

Paul attended a public school for most of his school years. He is a graduate of Paulding County High School in Dallas, Georgia. He is a graduate of Dalton State ",198,166,0.480201,3.623343,1.739933,1.733704,-0.006229,-0.022351,MIXED
22967,jonathan peña,REF,"jonathan peña -lrb- born december 22 , 1973 -rrb- is a puerto rican fencer .
he competed in the individual épée event at the 2000 summer olympics .",53,36,0.510216,4.480033,2.285786,2.571115,0.285329,0.467348,ALIGNED
