idx,question,gt,gen,n_tokens,n_valid,mean_delta,mean_sigma,A_marginal,A_joint,A_cov,pearson_rho,signature,label,label_source,judge_reason
17862,"In Norse mythology, what group of female figures decides who lives and dies during battle, and then transports half of the dead to Valhalla?",Valkyries,"The Valkyries. They are mentioned throughout the sagas, and are depicted as the maidens of Odin who decide the fate of warriors in battle.",33,25,0.500763,3.664629,1.83511,1.811393,-0.023717,-0.077994,MIXED,correct,alias_match,
16690,Which English king was born in Pembroke Castle in West Wales in 1457?,HENRY VII,"Henry Tudor, later Henry VII and founder of the Tudor dynasty.",19,9,0.514866,2.267533,1.167476,1.001996,-0.16548,-0.821521,ANTI,correct,alias_match,
6410,Which TV detective was assisted by DS George Toolan?,Frost,"DCI Jane Tennison, in the TV series Prime Suspect.",15,10,0.49834,3.3231,1.656035,1.662915,0.00688,0.02882,MIXED,hallucination,judge,"The model's answer about DCI Jane Tennison and Prime Suspect is completely unrelated to the ground truth, which is about types of frost, indicating a fundamental mismatch between the question asked and the answer provided."
6323,Which river meets the Rhine at the 'German Comer'?,MOSELLE,"The Rhine is the largest river in Germany and the fifth-longest in Europe. It originates in Switzerland and flows through Germany, France, and the Netherlands.",34,29,0.539307,2.819249,1.520441,1.517378,-0.003064,-0.017849,MIXED,hallucination,judge,"The model answer describes the Rhine river itself rather than answering which river meets the Rhine at the German Corner, which is the Moselle."
12090,"Who was manager of Sheffield Wednesday when they won the League Cup in 1991, beating Manchester United in the final ?",RON ATKINSON,Trevor Francis.,5,3,0.604802,3.054844,1.847577,1.866966,0.019389,0.05787,MIXED,hallucination,judge,Trevor Francis was not the manager of Sheffield Wednesday when they won the League Cup in 1991; Ron Atkinson was the manager during that victory.
7820,"In nature, what sort of bird is a 'Red Breasted Merganser'?",A DUCK,"A 'Red Breasted Merganser' is a type of duck, also referred to as a 'Sawbill' or 'Goosand' (the second of which is a nickname). The species is a close relative of the Pochard and Goldeneye, and some sources place the three together in the same genus. A 'Red Breasted Merganser' ducks are common in North America, Northern Eurasia, and Iceland",96,67,0.513372,3.692511,1.895632,1.978789,0.083157,0.219656,MIXED,correct,alias_match,
74,Who or what was Gentle Ben in the 60s TV series?,Bear cub,"Ben was the name of the bear character in The Gentle Ben television series. The show was about a 3-year-old bear and his 13-year-old boy. They lived in the woods, and the bear was named Ben. The show was filmed in the 1960s, with a bear named Ben. The bear was played by a real bear, but his name was Gentle Ben. He lived with a boy, and",96,75,0.503791,3.800087,1.91445,1.958281,0.04383,0.189687,MIXED,correct,alias_match,
10504,The town of Tobermory is on which Scottish island?,Mull,The town of Tobermory is on the Isle of Mull.,15,5,0.551896,2.581513,1.424727,1.457037,0.03231,0.32155,MIXED,correct,alias_match,
8682,Who was the mother of Edward VI?,JANE SEYMOUR,Elizabeth of York,5,2,0.602323,2.620838,1.57859,1.699055,0.120465,1.0,ALIGNED,hallucination,judge,"Elizabeth of York was the mother of Henry VIII, not Edward VI; Edward VI's mother was Jane Seymour."
16713,"Who was the first Tory Prime Minister of Great Britain (May, 1762 to July, 1765)?",3RD EARL OF BUTE,"The 1st Duke of Grafton, Henry Cavendish-Bentinck.",19,11,0.542532,3.289412,1.784612,1.802198,0.017585,0.115029,MIXED,hallucination,judge,"The model answer is factually incorrect; the first Tory Prime Minister from May 1762 to July 1765 was John Stuart, 3rd Earl of Bute, not the 1st Duke of Grafton or Henry Cavendish-Bentinck."
12106,Who became the ruler of Russia in 1964 until his death in 1982?,Leonid Brezhnev,Leonid Brezhnev.,8,3,0.620941,1.349884,0.838199,0.812207,-0.025992,-0.591887,MIXED,correct,alias_match,
1705,In England he’s a barrister – what is he in Scotland?,Advocate,A public nuisance.,6,4,0.5763,5.268402,3.036181,3.147536,0.111355,0.268829,ALIGNED,hallucination,judge,"The correct answer is 'advocate,' but the model provided 'a public nuisance,' which is a joke/pun unrelated to the actual legal terminology difference between England and Scotland."
17326,Who has won the most Oscars,Walt Disney,"Walt Disney, with 22",8,4,0.498151,3.403718,1.695565,1.665871,-0.029693,-0.22691,MIXED,correct,alias_match,
268,What are the three primary colours of light?,"Red, Blue and Green","Red, blue, green.",6,5,0.433426,1.727884,0.74891,0.757923,0.009013,0.143328,MIXED,correct,judge,"The model answer lists red, blue, and green, which exactly matches the ground truth for the three primary colours of light."
13875,What city will host the 2016 Olympics?,Rio de Janeiro,Rio De Janeiro,5,2,0.704273,1.623944,1.1437,1.238958,0.095259,1.0,MIXED,correct,alias_match,
14522,Who wrote the play The Three Sisters?,Anton Chekhov,Anton Chekhov.,6,2,0.530974,2.4303,1.290426,1.356612,0.066185,1.0,MIXED,correct,alias_match,
10751,What relation was Louis XV of France to Louis XIV of France?,Great-grandson,Louis XV was the grandson of Louis XIV,10,5,0.497866,2.336433,1.16323,1.315343,0.152113,0.806557,ALIGNED,correct,alias_match,
9356,"If you dress in clothes of the opposite sex, you are a what (no rude answers please!)?",transvestite,A cross-dresser.,7,4,0.415604,3.522918,1.46414,1.628424,0.164283,0.922899,ALIGNED,correct,judge,"Cross-dresser is a modern, respectful synonym for transvestite that accurately describes the practice of wearing clothes of the opposite sex."
9213,Who was the original bass guitarist with The Who,John Entwhistle,John Entwistle,5,2,0.724351,3.172306,2.297863,1.971711,-0.326152,-1.0,ANTI,correct,alias_match,
2132,Who played Miss Pugh on the Hancock radio show?,Hattie Jacques,Jeanne Darma. She played the role for the entire run of the series (1942-1944).,27,20,0.613778,3.687615,2.263375,2.292348,0.028973,0.080319,MIXED,hallucination,judge,"The model answer names Jeanne Darma, who is not listed in the ground truth; the correct answer is Hattie Jacques."
1941,Kia Motors Corporation is nearly one-third owned by which other Asian company?,HYUNDAI Motor Company,Hyundai Motor Company,5,3,0.535955,1.7968,0.963004,0.867935,-0.095069,-0.686048,MIXED,correct,alias_match,
11923,Which 20th century British prime minister had the longest surname ?,CAMPBELL-BANNERMAN,Ramsay MacDonald,5,3,0.715891,3.337839,2.389527,2.550104,0.160576,0.99952,ALIGNED,hallucination,judge,"Ramsay MacDonald has 9 letters in his surname while Henry Campbell-Bannerman has 17 letters (Campbell-Bannerman), making Campbell-Bannerman the correct answer."
13188,"""The song """"Love is All Around"""" by Wet Wet Wet featured on the soundtrack for which 1994 film?""",Four Weddings and a Funeral,"""Groundhog Day""",6,3,0.658455,2.429422,1.599666,1.751872,0.152206,0.835243,ALIGNED,hallucination,judge,"""Love is All Around"" by Wet Wet Wet was featured on the soundtrack for ""Four Weddings and a Funeral"" (1994), not ""Groundhog Day"" (1993)."
13684,"""The book """"Dirty Sexy Politics"""", released in 2010, was about whose US presidential campaign?""",John McCain,"""Dirty Sexy Politics"" was about whose US presidential campaign?",13,7,0.394937,2.918544,1.152641,1.366057,0.213416,0.861703,ALIGNED,hallucination,judge,The model answer does not provide any answer to the question - it merely repeats the question itself without identifying John McCain or any presidential campaign.
